status,physical_status,set,port_geometry,interface_parallelism,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,input_correspondence_count,valid_count,failure_count,z_left_rig_median,z_left_rig_p05,z_left_rig_p95,range_from_left_camera_median,ray_gap_median,ray_angle_deg_median,native_dry_z_median_for_same_rows,median_ratio_to_native_dry_z
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.03,0.008,50,50,0,3.1294698912099754,2.997881818581601,3.2144630404452506,3.3034520547907427,0.012386981443921155,1.9728761925054616,2.123261608735686,1.4738974596132997
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.47,1.33,0.03,0.01,50,50,0,3.1296993587847366,2.9981450392898816,3.2146953876973,3.3036613917790647,0.012386874175231741,1.9728761925054616,2.123261608735686,1.4740055327653865
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.005,0.003,50,50,0,3.1407725517891354,3.0125628093113948,3.225910880568287,3.313466648522758,0.012376361635069463,1.972876192505277,2.123261608735686,1.4792207134849176
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.005,0.005,50,50,0,3.141044035919201,3.012872950912822,3.226185711738177,3.3137146204320134,0.012376238797342416,1.972876192505277,2.123261608735686,1.479348575322078
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.005,0.008,50,50,0,3.141451262114299,3.0133381633149625,3.2265979584930133,3.3140865826510195,0.012376054540751793,1.972876192505277,2.123261608735686,1.479540368077819
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.005,0.01,50,50,0,3.1417227462443647,3.0136483049163902,3.2268727896629046,3.3143345603663454,0.01237593170302476,1.972876192505277,2.123261608735686,1.4796682299149795
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.01,0.003,50,50,0,3.1384098908525093,3.009509077079241,3.223517884093007,3.311370325218447,0.012378534560473366,1.972876192505277,2.123261608735686,1.4781079627400704
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.01,0.005,50,50,0,3.1386813749825757,3.009819218680669,3.2237927152628982,3.3116182784525514,0.01237841172274623,1.972876192505277,2.123261608735686,1.4782358245772313
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.01,0.008,50,50,0,3.1390886011776735,3.010284431082808,3.2242049620177338,3.311990212666829,0.01237822746615557,1.972876192505277,2.123261608735686,1.478427617332972
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.01,0.01,50,50,0,3.1393600853077395,3.0105945726842362,3.2244797931876255,3.312238171717669,0.012378104628428505,1.972876192505277,2.123261608735686,1.4785554791701327
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.02,0.003,50,50,0,3.133684568979259,3.0034016126149337,3.2187318911424474,3.307178129351262,0.012382880411280932,1.972876192505277,2.123261608735686,1.4758824612503767
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.02,0.005,50,50,0,3.1339560531093245,3.00371175421636,3.219006722312338,3.3074260451302546,0.012382757573553803,1.972876192505277,2.123261608735686,1.4760103230875374
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.02,0.008,50,50,0,3.1343632793044223,3.0041769666185014,3.219418969067174,3.307797923177925,0.012382573316963227,1.972876192505277,2.123261608735686,1.476202115843278
HYPOTHETICAL_R1_SENSITIVITY_ONLY,NOT_IDENTIFIABLE,Set_A_model_agnostic,shared_parallel_flat_port_assumption_in_rig_frame,assumed exactly parallel; not measured,1.0,1.5,1.33,0.02,0.01,50,50,0,3.1346347634344873,3.0044871082199287,3.219693800237064,3.3080458447950614,0.012382450479236102,1.972876192505277,2.123261608735686,1.4763299776804384
