side,sample_id,u_px,v_px,n_water,native_air_ray_x,native_air_ray_y,native_air_ray_z,custom_air_ray_x,custom_air_ray_y,custom_air_ray_z,native_air_angle_deg,custom_air_angle_deg,custom_minus_native_air_ray_angle_deg,native_single_interface_water_angle_deg,single_interface_vs_custom_angle_deg,status
left,0,95.95,53.95,1.33,-0.604072513280791,-0.3408008117517104,0.7203826798362132,-0.3813392532549084,-0.2129749089248857,0.8995677084552476,43.913915764055204,25.898697505872473,18.015741737309792,31.43200414995837,5.533306644085897,single_interface_hypothetical_not_rig_model
left,0,95.95,53.95,1.333,-0.604072513280791,-0.3408008117517104,0.7203826798362132,-0.3813392532549084,-0.2129749089248857,0.8995677084552476,43.913915764055204,25.898697505872473,18.015741737309792,31.35322828764091,5.454530781768437,single_interface_hypothetical_not_rig_model
left,0,95.95,53.95,1.336,-0.604072513280791,-0.3408008117517104,0.7203826798362132,-0.3813392532549084,-0.2129749089248857,0.8995677084552476,43.913915764055204,25.898697505872473,18.015741737309792,31.274871701602578,5.376174195730105,single_interface_hypothetical_not_rig_model
left,0,95.95,53.95,1.34,-0.604072513280791,-0.3408008117517104,0.7203826798362132,-0.3813392532549084,-0.2129749089248857,0.8995677084552476,43.913915764055204,25.898697505872473,18.015741737309792,31.171042306365454,5.272344800492981,single_interface_hypothetical_not_rig_model
left,1,959.5,53.95,1.33,0.0018841435147557452,-0.41962830565842446,0.9076940757179457,-0.005375648487282758,-0.31103808536962557,0.9503822451271586,24.811390101018578,18.124601779207083,6.701993382715645,18.39179705400011,0.2671952747930284,single_interface_hypothetical_not_rig_model
left,1,959.5,53.95,1.333,0.0018841435147557452,-0.41962830565842446,0.9076940757179457,-0.005375648487282758,-0.31103808536962557,0.9503822451271586,24.811390101018578,18.124601779207083,6.701993382715645,18.34892768153365,0.2243259023265658,single_interface_hypothetical_not_rig_model
left,1,959.5,53.95,1.336,0.0018841435147557452,-0.41962830565842446,0.9076940757179457,-0.005375648487282758,-0.31103808536962557,0.9503822451271586,24.811390101018578,18.124601779207083,6.701993382715645,18.306261400367976,0.18165962116089318,single_interface_hypothetical_not_rig_model
left,1,959.5,53.95,1.34,0.0018841435147557452,-0.41962830565842446,0.9076940757179457,-0.005375648487282758,-0.31103808536962557,0.9503822451271586,24.811390101018578,18.124601779207083,6.701993382715645,18.249686411540445,0.12508463233336187,single_interface_hypothetical_not_rig_model
left,2,1823.05,53.95,1.33,0.606774670286188,-0.3403858504597973,0.7183049298910932,0.38120603197631997,-0.2182662264165704,0.8983550609813135,44.08529094011942,26.057317281204043,18.03015113621878,31.54069775690272,5.483380475698677,single_interface_hypothetical_not_rig_model
left,2,1823.05,53.95,1.333,0.606774670286188,-0.3403858504597973,0.7183049298910932,0.38120603197631997,-0.2182662264165704,0.8983550609813135,44.08529094011942,26.057317281204043,18.03015113621878,31.461585934325885,5.404268653121843,single_interface_hypothetical_not_rig_model
left,2,1823.05,53.95,1.336,0.606774670286188,-0.3403858504597973,0.7183049298910932,0.38120603197631997,-0.2182662264165704,0.8983550609813135,44.08529094011942,26.057317281204043,18.03015113621878,31.382895737630538,5.325578456426495,single_interface_hypothetical_not_rig_model
left,2,1823.05,53.95,1.34,0.606774670286188,-0.3403858504597973,0.7183049298910932,0.38120603197631997,-0.2182662264165704,0.8983550609813135,44.08529094011942,26.057317281204043,18.03015113621878,31.278625136915988,5.221307855711945,single_interface_hypothetical_not_rig_model
left,3,95.95,539.5,1.33,-0.6396394151602245,-0.0001019815374225319,0.7686750992280497,-0.4561420370503587,-0.0009673654596891524,0.889906459263903,39.7649374551323,27.13850504862472,12.626579496866755,28.74628339058512,1.607778341960401,single_interface_hypothetical_not_rig_model
left,3,95.95,539.5,1.333,-0.6396394151602245,-0.0001019815374225319,0.7686750992280497,-0.4561420370503587,-0.0009673654596891524,0.889906459263903,39.7649374551323,27.13850504862472,12.626579496866755,28.67557503390564,1.5370699852809224,single_interface_hypothetical_not_rig_model
left,3,95.95,539.5,1.336,-0.6396394151602245,-0.0001019815374225319,0.7686750992280497,-0.4561420370503587,-0.0009673654596891524,0.889906459263903,39.7649374551323,27.13850504862472,12.626579496866755,28.605231602590663,1.4667265539659446,single_interface_hypothetical_not_rig_model
left,3,95.95,539.5,1.34,-0.6396394151602245,-0.0001019815374225319,0.7686750992280497,-0.4561420370503587,-0.0009673654596891524,0.889906459263903,39.7649374551323,27.13850504862472,12.626579496866755,28.51200289393251,1.3734978453077922,single_interface_hypothetical_not_rig_model
left,4,959.5,539.5,1.33,0.0019662702641864457,-8.522777116669933e-05,0.9999980632568621,-0.005220172752611563,-0.0006724485891894284,0.9999861487087347,0.1127648413619076,0.3015666158381552,0.41312664306081354,0.08478557121646249,-0.2167810446216927,single_interface_hypothetical_not_rig_model
left,4,959.5,539.5,1.333,0.0019662702641864457,-8.522777116669933e-05,0.9999980632568621,-0.005220172752611563,-0.0006724485891894284,0.9999861487087347,0.1127648413619076,0.3015666158381552,0.41312664306081354,0.08459475583860487,-0.21697185999955032,single_interface_hypothetical_not_rig_model
left,4,959.5,539.5,1.336,0.0019662702641864457,-8.522777116669933e-05,0.9999980632568621,-0.005220172752611563,-0.0006724485891894284,0.9999861487087347,0.1127648413619076,0.3015666158381552,0.41312664306081354,0.08440479741696896,-0.21716181842118623,single_interface_hypothetical_not_rig_model
left,4,959.5,539.5,1.34,0.0019662702641864457,-8.522777116669933e-05,0.9999980632568621,-0.005220172752611563,-0.0006724485891894284,0.9999861487087347,0.1127648413619076,0.3015666158381552,0.41312664306081354,0.08415284261636952,-0.21741377322178568,single_interface_hypothetical_not_rig_model
