frame_index,match_id,set,model,physical_status,recommended_angle_threshold_deg,ray_gap_threshold_m,status,t_left_m,t_right_m,rank,ray_angle_deg,condition_number,ray_gap_m,z_left_camera_m,range_from_left_camera_m,midpoint_x_left_m,midpoint_y_left_m,positive_parameters,angle_gt_0_25_deg,angle_gt_0_5_deg,angle_gt_1_deg,rank2_positive_status,reason,error
0,33,Set_B_custom_consistent,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.4705257844357624,2.4812397824962784,2,2.7605180136913834,41.50285945664694,0.005781314295745108,2.372229320635015,2.470527475552678,-0.1683967488865423,0.6690863866083852,True,True,True,True,PASS,,
0,33,Set_B_custom_consistent,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2746812394768434,2.3015470092313506,2,3.0242596231840193,37.881983362601225,0.002209793395253603,2.224970880595227,2.2746815078213967,-0.12983226159473374,0.4547792061837477,True,True,True,True,PASS,,
0,33,Set_B_custom_consistent,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,41,Set_B_custom_consistent,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.472089873389578,2.4833325802208814,2,2.757310202271045,41.5511619066485,0.0058213432635283845,2.3700040618390057,2.4720915869208104,-0.17945054677243083,0.6797904546655095,True,True,True,True,PASS,,
0,41,Set_B_custom_consistent,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2759523306270997,2.3031969257619207,2,3.0201898928251256,37.93305333709568,0.002244599857399278,2.224329663936845,2.275952607336992,-0.13735038517358167,0.46200940322392015,True,True,True,True,PASS,,
0,41,Set_B_custom_consistent,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,42,Set_B_custom_consistent,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.417437563087484,2.4310852779954835,2,2.8119603414859973,40.743304779218164,0.006006347223044856,2.3415670903298,2.4174394285024174,-0.22327446040015522,0.5578758529418066,True,True,True,True,PASS,,
0,42,Set_B_custom_consistent,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2361538477672207,2.2653272830909637,2,3.0605785005975887,37.43224027742965,0.002702489282891994,2.197101472281651,2.236154256026678,-0.16761814271956224,0.38083478763798695,True,True,True,True,PASS,,
0,42,Set_B_custom_consistent,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,55,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.447571286188851,2.492103293798366,2,2.57421475838925,44.50766279684985,0.009032842710249255,2.1891106237311146,2.447575453185867,-0.8638185689892957,0.6724862496548591,True,True,True,True,PASS,,
0,55,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2811168896380396,2.3326429801223685,2,2.7910807423627633,41.0482204317445,0.005465095440786802,2.149529942656169,2.2811185262955913,-0.6087833956915516,0.4608747484553698,True,True,True,True,PASS,,
0,55,Set_A_model_agnostic,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,58,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.360258338550167,2.410796599794625,2,2.597183766214541,44.11391229896414,0.011455234872725494,2.0623854843505613,2.360265288118497,-0.9516170887455537,0.6417501543783444,True,True,True,True,PASS,,
0,58,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2184559804394053,2.274231078819488,2,2.812690194095727,40.732728232329116,0.006491353910347824,2.0671476215386604,2.2184583547063177,-0.6726702416841868,0.44268829698316875,True,True,True,True,PASS,,
0,58,Set_A_model_agnostic,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,71,Set_B_custom_consistent,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.482693533696231,2.4952551386479653,2,2.74171873482118,41.78754392527788,0.0058919337399713735,2.3566947572510015,2.482695281539376,-0.20764994206804605,0.7527597117823592,True,True,True,True,PASS,,
0,71,Set_B_custom_consistent,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2857465383044184,2.3138688814596544,2,3.0017346113925507,38.16638125504579,0.0022317890431782085,2.2222503488726684,2.285746810692561,-0.15659541551247227,0.511585521068566,True,True,True,True,PASS,,
0,71,Set_B_custom_consistent,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,94,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.213706905160838,2.164471337180852,2,2.8593021414273285,40.06843995157247,0.0045297072351979184,1.9901331453855606,2.213708063751561,0.9519874116394984,0.18328508732678783,True,True,True,True,PASS,,
0,94,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2830398559138927,2.26447800298432,2,3.079860886712961,37.19777275174369,0.005478421369563707,2.1656217890953684,2.2830414991774695,0.7092663623780233,0.1389315686261705,True,True,True,True,PASS,,
0,94,Set_A_model_agnostic,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,95,Set_B_custom_consistent,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.3313236073116195,2.306179198983503,2,2.8965220899403357,39.55335031917891,0.0022895937778460787,2.2155518029299173,2.3313238883879652,0.5392519147061164,0.4853953580208217,True,True,True,True,PASS,,
0,95,Set_B_custom_consistent,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.247225439670659,2.2471467842364383,2,3.1549460552941206,36.31206412413245,0.0012518072868943763,2.189627856238443,2.2472255268348906,0.3687810328851142,0.34576432642362265,True,True,True,True,PASS,,
0,95,Set_B_custom_consistent,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,107,Set_B_custom_consistent,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.3455146354785668,2.396878168183293,2,2.611292063930252,43.87549163969433,0.007836912638127094,2.003203274238443,2.345517908595898,-0.9613972312888721,0.7512298351999527,True,True,True,True,PASS,,
0,107,Set_B_custom_consistent,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.1808963943800896,2.237007914086852,2,2.8602852031172468,40.0546629668865,0.002191583820265656,2.0113654776345697,2.1808966696705245,-0.6698049094464011,0.5119380650443403,True,True,True,True,PASS,,
0,107,Set_B_custom_consistent,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,115,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.3724819190386968,2.410224264990033,2,2.6959109328388613,42.497849347434965,0.017122354544212653,2.174955755296276,2.372497365630112,-0.7025487307089402,-0.6361890390478943,True,True,True,True,PASS,,
0,115,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.254629806107311,2.3016460596812767,2,2.865067694873284,39.98777423269767,0.011199084821543262,2.1501448166354415,2.2546367595385957,-0.509005945561754,-0.44852773865305995,True,True,True,True,PASS,,
0,115,Set_A_model_agnostic,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,122,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2177593793535784,2.166164046850401,2,2.826210927328529,40.53778236184605,0.005157900905655992,1.9811985124448501,2.217760878836176,0.9957643559818856,-0.0420608765779054,True,True,True,True,PASS,,
0,122,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.3051659322575957,2.2848402492478166,2,3.045847255277634,37.6133672881339,0.0039011783971982807,2.1800783751167288,2.3051667575338772,0.7482573901435204,-0.034101854542819394,True,True,True,True,PASS,,
0,122,Set_A_model_agnostic,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,128,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.4214194572216083,2.4533147250383807,2,2.6896364714121916,42.597026103010585,0.016414333067621044,2.199876007905321,2.4214333658793703,-0.5987204375796857,-0.8157321452908641,True,True,True,True,PASS,,
0,128,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.278955868679413,2.321551480625312,2,2.880941952762467,39.76734577458905,0.011010847778293772,2.1639952375820255,2.2789625185773756,-0.43207014998148574,-0.5693067348080693,True,True,True,True,PASS,,
0,128,Set_A_model_agnostic,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,132,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.214666910895721,2.273164119067678,2,2.6258995772357063,43.631333643225744,0.01951327014235294,1.9392310189498347,2.2146884020431195,-1.0426825337935623,-0.23883238266392703,True,True,True,True,PASS,,
0,132,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.1670510429376937,2.2290121982779882,2,2.7697536642347913,41.36441592065958,0.013569798564315486,2.019819130137863,2.167061664456186,-0.7657162467962292,-0.17368237814192855,True,True,True,True,PASS,,
0,132,Set_A_model_agnostic,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,141,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.3501282886734294,2.3814815729974677,2,2.7934148714853,41.01390767433725,0.009552872277692049,2.23532131636993,2.3501331425187995,-0.5658633262964674,0.4541619712175246,True,True,True,True,PASS,,
0,141,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2028781193519826,2.245168906137953,2,2.9919234082225055,38.291594752199615,0.006111357277655083,2.142182490815242,2.2028802386629356,-0.4067406970755011,0.3135243647291457,True,True,True,True,PASS,,
0,141,Set_A_model_agnostic,R1_native_dry_plus_explicit_refractive_rig,NOT_IDENTIFIABLE_WITHOUT_MEASURED_PORT_PARAMETERS,0.5,0.01,NOT_IDENTIFIABLE,,,,,,,,,,,,,,,,native K/D/T are available but housing plane/index/interface measurements are not,
0,152,Set_A_model_agnostic,A_native_dry_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.382699468602913,2.4215365094300454,2,2.6745314105365057,42.83769120883125,0.017230683445615205,2.1751975848037635,2.382715044186695,-0.727893355700868,-0.6449943500403754,True,True,True,True,PASS,,
0,152,Set_A_model_agnostic,B_custom_empirical_pinhole,pinhole_candidate_only,0.5,0.01,PASS,2.2631605884258095,2.3109586640998705,2,2.845573502735206,40.26183259369101,0.011260609350681022,2.1536546186294263,2.2631675919680796,-0.5265060508247023,-0.45441249040460124,True,True,True,True,PASS,,
